symbol,name,trading_name ,sectoer,date,open,high,low,close,change,perc_Change,volume_traded ,value_traded,no_trades 
1210,Basic Chemical Industries Co.,BCI,Materials,2020-03-24,18.3,18.9,18.3,18.8,0.48,2.62,84143.0,1573317.12,174.0
1210,Basic Chemical Industries Co.,BCI,Materials,2020-03-23,18.7,18.72,17.9,18.32,-0.58,-3.07,83244.0,1525695.34,285.0
1210,Basic Chemical Industries Co.,BCI,Materials,2020-03-22,18.54,19.66,18.54,18.9,-0.34,-1.77,116343.0,2213813.18,269.0
1210,Basic Chemical Industries Co.,BCI,Materials,2020-03-19,18.46,19.24,18.46,19.24,0.62,3.33,75113.0,1417356.7,138.0
1210,Basic Chemical Industries Co.,BCI,Materials,2020-03-18,18.5,18.84,18.46,18.62,0.1,0.54,59769.0,1113338.48,157.0
1210,Basic Chemical Industries Co.,BCI,Materials,2020-03-17,18.5,18.7,18.36,18.52,0.02,0.11,151654.0,2808795.8,200.0
1210,Basic Chemical Industries Co.,BCI,Materials,2020-03-16,18.96,18.96,18.5,18.5,-0.62,-3.24,83809.0,1566929.64,209.0
1210,Basic Chemical Industries Co.,BCI,Materials,2020-03-15,19.88,19.92,19.12,19.12,-0.72,-3.63,90620.0,1756914.22,208.0
1210,Basic Chemical Industries Co.,BCI,Materials,2020-03-12,19.02,20.0,19.02,19.84,-0.76,-3.69,98850.0,1926754.54,332.0
1210,Basic Chemical Industries Co.,BCI,Materials,2020-03-11,21.96,21.98,20.58,20.6,-1.24,-5.68,95642.0,2032281.92,270.0
1210,Basic Chemical Industries Co.,BCI,Materials,2020-03-10,21.58,22.0,20.98,21.84,0.84,4.0,243896.0,5234023.18,361.0
1210,Basic Chemical Industries Co.,BCI,Materials,2020-03-09,21.0,21.7,20.16,21.0,-1.02,-4.63,213336.0,4462996.74,350.0
1210,Basic Chemical Industries Co.,BCI,Materials,2020-03-08,22.0,23.0,22.0,22.02,-1.88,-7.87,167895.0,3765202.26,333.0
1211,Saudi Arabian Mining Co.,MAADEN,Materials,2020-04-23,34.2,35.1,34.2,34.9,1.2,3.56,635412.0,22046592.9,870.0
1211,Saudi Arabian Mining Co.,MAADEN,Materials,2020-04-22,32.95,34.4,32.85,33.7,0.4,1.2,352881.0,11925104.4,871.0
1211,Saudi Arabian Mining Co.,MAADEN,Materials,2020-04-21,33.1,34.2,32.5,33.3,-0.85,-2.49,546645.0,18362857.95,1491.0
1211,Saudi Arabian Mining Co.,MAADEN,Materials,2020-04-20,35.3,35.3,34.1,34.15,-1.15,-3.26,297011.0,10239322.5,836.0
1211,Saudi Arabian Mining Co.,MAADEN,Materials,2020-04-19,35.2,35.6,35.0,35.3,0.1,0.28,176713.0,6247449.2,374.0
1211,Saudi Arabian Mining Co.,MAADEN,Materials,2020-04-16,36.0,36.1,35.2,35.2,-1.3,-3.56,637765.0,22567772.45,1309.0
1211,Saudi Arabian Mining Co.,MAADEN,Materials,2020-04-15,36.55,36.95,36.3,36.5,0.0,0.0,581717.0,21326653.65,1176.0
1211,Saudi Arabian Mining Co.,MAADEN,Materials,2020-04-14,36.1,36.5,35.7,36.5,0.65,1.81,517637.0,18700240.75,1020.0
1211,Saudi Arabian Mining Co.,MAADEN,Materials,2020-04-13,35.2,35.85,35.0,35.85,1.0,2.87,406888.0,14396049.85,791.0
1211,Saudi Arabian Mining Co.,MAADEN,Materials,2020-04-12,36.0,36.0,34.85,34.85,-1.55,-4.26,436325.0,15422339.75,885.0
1211,Saudi Arabian Mining Co.,MAADEN,Materials,2020-04-09,36.7,36.8,36.0,36.4,-0.1,-0.27,470201.0,17108936.95,950.0
1211,Saudi Arabian Mining Co.,MAADEN,Materials,2020-04-08,37.0,37.2,35.9,36.5,-0.7,-1.88,903786.0,32938668.45,1610.0
1211,Saudi Arabian Mining Co.,MAADEN,Materials,2020-04-07,35.2,37.2,35.2,37.2,2.1,5.98,990853.0,35648390.3,1224.0
1211,Saudi Arabian Mining Co.,MAADEN,Materials,2020-04-06,33.6,35.3,32.95,35.1,1.5,4.46,776238.0,26584782.55,1154.0
1211,Saudi Arabian Mining Co.,MAADEN,Materials,2020-04-05,34.0,34.05,33.0,33.6,0.6,1.82,718530.0,24016279.0,1022.0
1211,Saudi Arabian Mining Co.,MAADEN,Materials,2020-04-02,31.5,33.0,31.5,33.0,1.7,5.43,1207182.0,38782482.4,1436.0
1211,Saudi Arabian Mining Co.,MAADEN,Materials,2020-04-01,31.0,32.1,30.8,31.3,0.3,0.97,961008.0,30263590.55,1050.0
1211,Saudi Arabian Mining Co.,MAADEN,Materials,2020-03-31,30.45,31.5,30.45,31.0,0.95,3.16,1075927.0,33339065.25,1080.0
1211,Saudi Arabian Mining Co.,MAADEN,Materials,2020-03-30,30.5,30.65,30.05,30.05,-0.5,-1.64,475248.0,14423268.65,991.0
1211,Saudi Arabian Mining Co.,MAADEN,Materials,2020-03-29,30.5,30.9,29.85,30.55,0.05,0.16,322127.0,9804292.3,488.0
1211,Saudi Arabian Mining Co.,MAADEN,Materials,2020-03-26,30.6,30.95,30.35,30.5,0.3,0.99,316683.0,9688828.6,555.0
1211,Saudi Arabian Mining Co.,MAADEN,Materials,2020-03-25,31.5,31.8,30.1,30.2,-0.4,-1.31,952459.0,29586796.95,1342.0
1211,Saudi Arabian Mining Co.,MAADEN,Materials,2020-03-24,30.0,31.0,30.0,30.6,1.4,4.79,624896.0,19017070.75,1234.0
1211,Saudi Arabian Mining Co.,MAADEN,Materials,2020-03-23,29.4,29.75,28.7,29.2,-0.4,-1.35,524127.0,15265733.4,1043.0
1211,Saudi Arabian Mining Co.,MAADEN,Materials,2020-03-22,31.5,31.5,29.6,29.6,-1.55,-4.98,710940.0,21473172.05,1286.0
1211,Saudi Arabian Mining Co.,MAADEN,Materials,2020-03-19,29.2,31.9,29.15,31.15,1.35,4.53,2604558.0,81145228.65,2694.0
1211,Saudi Arabian Mining Co.,MAADEN,Materials,2020-03-18,29.05,29.8,28.75,29.8,0.75,2.58,655993.0,19207524.65,1185.0
1211,Saudi Arabian Mining Co.,MAADEN,Materials,2020-03-17,28.3,30.25,27.8,29.05,1.05,3.75,841509.0,24354110.5,1696.0
1211,Saudi Arabian Mining Co.,MAADEN,Materials,2020-03-16,29.05,29.6,28.0,28.0,-1.95,-6.51,1168622.0,33580827.6,2601.0
1211,Saudi Arabian Mining Co.,MAADEN,Materials,2020-03-15,30.2,30.85,29.3,29.95,0.95,3.28,538899.0,16262763.7,1085.0
1211,Saudi Arabian Mining Co.,MAADEN,Materials,2020-03-12,29.2,29.9,28.5,29.0,-1.4,-4.61,902543.0,26390804.1,1987.0
1211,Saudi Arabian Mining Co.,MAADEN,Materials,2020-03-11,31.1,32.4,30.4,30.4,-0.35,-1.14,1071043.0,33678629.2,1931.0
1211,Saudi Arabian Mining Co.,MAADEN,Materials,2020-03-10,29.6,31.05,29.0,30.75,2.5,8.85,1573544.0,47869055.55,2207.0
1211,Saudi Arabian Mining Co.,MAADEN,Materials,2020-03-09,28.55,29.5,28.25,28.25,-3.1,-9.89,1220081.0,34743946.8,2109.0
1211,Saudi Arabian Mining Co.,MAADEN,Materials,2020-03-08,31.35,32.15,31.35,31.35,-3.45,-9.91,1272312.0,40000111.35,1572.0
1301,United Wire Factories Co.,ASLAK,Materials,2020-04-23,15.36,15.8,15.36,15.7,0.48,3.15,253924.0,3963951.8,382.0
1301,United Wire Factories Co.,ASLAK,Materials,2020-04-22,14.82,15.48,14.82,15.22,-0.08,-0.52,78763.0,1194224.2,172.0
1301,United Wire Factories Co.,ASLAK,Materials,2020-04-21,14.82,15.82,14.82,15.3,-0.02,-0.13,352134.0,5417601.86,636.0
1301,United Wire Factories Co.,ASLAK,Materials,2020-04-20,14.9,15.34,14.9,15.32,0.42,2.82,78977.0,1195167.12,232.0
